Title,Price,Currency,Img_src,Cl and Percent
Hibiki Harmony,79.95,EURO,https://img.thewhiskyexchange.com/480/japan_hib11.jpg,70cl / 43%
 Yamazaki 18 Year Old Mizunara 100th Anniversary,1.675,EURO,https://img.thewhiskyexchange.com/480/japan_yam18yo.jpg,70cl / 48%
Nikka Coffey Grain Whisky,59.75,EURO,https://img.thewhiskyexchange.com/480/japan_nik24.jpg,70cl / 45%
Yamazaki Distiller's Reserve,75.95,EURO,https://img.thewhiskyexchange.com/480/japan_yam29.jpg,70cl / 43%
The Chita Distiller's Reserve,56.95,EURO,https://img.thewhiskyexchange.com/480/japan_chi116.jpg,70cl / 43%
 Yamazaki 12 Year Old 100th Anniversary,199.0,EURO,https://img.thewhiskyexchange.com/480/japan_yam12yo.jpg,70cl / 43%
Yoichi Single Malt,76.95,EURO,https://img.thewhiskyexchange.com/480/japan_yoi22.jpg,70cl / 45%
Hakushu Distiller's Reserve,74.25,EURO,https://img.thewhiskyexchange.com/480/japan_hak16.jpg,70cl / 43%
Chichibu The Peated 2022,199.0,EURO,https://img.thewhiskyexchange.com/480/japan_chi36.jpg,70cl / 53.5%
Suntory Toki 100th Anniversary Gift Box,34.25,EURO,https://img.thewhiskyexchange.com/480/japan_sun38.jpg,70cl / 43%
Kanosuke Single Malt,89.95,EURO,https://img.thewhiskyexchange.com/480/japan_kan2.jpg,70cl / 48%
 Hibiki Blossom Harmony Bot.2022,250.0,EURO,https://img.thewhiskyexchange.com/480/japan_hib20.jpg,70cl / 43%
Suntory Toki,34.25,EURO,https://img.thewhiskyexchange.com/480/japan_sun15.jpg,70cl / 43%
Yamazaki 18 Year Old,850.0,EURO,https://img.thewhiskyexchange.com/480/japan_yam2.jpg,70cl / 43%
 Miyagikyo Single Malt Glass Pack,85.5,EURO,https://img.thewhiskyexchange.com/480/japan_miy18.jpg,70cl / 45%
Kaiyo Mizunara Oak Cask Strength,112.0,EURO,https://img.thewhiskyexchange.com/480/japan_kai2.jpg,70cl / 53%
 Akashi 5 Year Old Sherry Cask,117.0,EURO,https://img.thewhiskyexchange.com/480/japan_aka3.jpg,50cl / 50%
Miyagikyo Single Malt,76.95,EURO,https://img.thewhiskyexchange.com/480/japan_miy10.jpg,70cl / 45%
 Kanosuke Single Malt 2022 Limited Edition,150.0,EURO,https://img.thewhiskyexchange.com/480/japan_kan1.jpg,70cl / 59%
Fuji Single Grain Whiskey,63.25,EURO,https://img.thewhiskyexchange.com/480/japan_fuj3.jpg,70cl / 46%
Kaiyo Mizunara Oak,84.5,EURO,https://img.thewhiskyexchange.com/480/japan_kai1.jpg,70cl / 43%
 Mars Komagatake Edition Bot.2021,137.0,EURO,https://img.thewhiskyexchange.com/480/japan_mar15.jpg,70cl / 48%
Fuji Single Malt Whisky,72.25,EURO,https://img.thewhiskyexchange.com/480/japan_fuj4.jpg,70cl / 46%
Kaiyo Peated Mizunara Oak,99.95,EURO,https://img.thewhiskyexchange.com/480/japan_kai3.jpg,70cl / 46%
